16:04:15: [INFO] [C:\Users\User\autonomy-bootcamp-2025-p2\modules\common\modules\logger\logger_main_setup.py | setup_main_logger | 62] main logger initialized
16:04:16: [INFO] [C:\Users\User\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | main | 137] Connected!
16:04:16: [INFO] [C:\Users\User\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 81] Command action: CHANGE ALTITUDE: 1.00
16:04:16: [INFO] [C:\Users\User\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 81] Command action: CHANGE ALTITUDE: -1.00
16:04:19: [INFO] [C:\Users\User\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 81] Command action: CHANGE YAW: 63.43
16:04:20: [INFO] [C:\Users\User\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 81] Command action: CHANGE YAW: 90.00
16:04:20: [INFO] [C:\Users\User\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 81] Command action: CHANGE YAW: 116.57
16:04:21: [INFO] [C:\Users\User\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 81] Command action: CHANGE YAW: 45.00
16:04:21: [INFO] [C:\Users\User\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 81] Command action: CHANGE YAW: 63.43
16:04:22: [INFO] [C:\Users\User\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 81] Command action: CHANGE YAW: 90.00
16:04:22: [INFO] [C:\Users\User\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 81] Command action: CHANGE YAW: 26.57
16:04:23: [INFO] [C:\Users\User\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 81] Command action: CHANGE YAW: 45.00
16:04:23: [INFO] [C:\Users\User\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 81] Command action: CHANGE YAW: 90.00
16:04:24: [INFO] [C:\Users\User\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 81] Command action: CHANGE YAW: 45.00
16:04:24: [INFO] [C:\Users\User\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 81] Command action: CHANGE YAW: 90.00
16:04:25: [INFO] [C:\Users\User\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 81] Command action: CHANGE YAW: 135.00
16:04:25: [INFO] [C:\Users\User\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 81] Command action: CHANGE YAW: -26.57
16:04:26: [INFO] [C:\Users\User\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 81] Command action: CHANGE YAW: -45.00
16:04:26: [INFO] [C:\Users\User\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 81] Command action: CHANGE YAW: -90.00
16:04:27: [INFO] [C:\Users\User\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 81] Command action: CHANGE YAW: -45.00
16:04:27: [INFO] [C:\Users\User\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 81] Command action: CHANGE YAW: -90.00
16:04:28: [INFO] [C:\Users\User\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 81] Command action: CHANGE YAW: -135.00
16:04:28: [INFO] [C:\Users\User\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 81] Command action: CHANGE YAW: -63.43
16:04:29: [INFO] [C:\Users\User\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 81] Command action: CHANGE YAW: -90.00
16:04:29: [INFO] [C:\Users\User\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 81] Command action: CHANGE YAW: -116.57
16:04:30: [INFO] [C:\Users\User\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 81] Command action: CHANGE YAW: -45.00
16:04:30: [INFO] [C:\Users\User\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 81] Command action: CHANGE YAW: -63.43
16:04:31: [INFO] [C:\Users\User\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 81] Command action: CHANGE YAW: -90.00
